ID,LIMIT_BAL$,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1$,BILL_AMT2$,BILL_AMT3$,BILL_AMT4$,BILL_AMT5$,BILL_AMT6$,PAY_AMT1$,PAY_AMT2$,PAY_AMT3$,PAY_AMT4$,PAY_AMT5$,PAY_AMT6$,def_pay
1,640,2,2,1,24,2,2,-1,-1,-2,-2,125.216,99.264,22.048,0,0,0,0,22.048,0,0,0,0,1
2,3840,2,2,2,26,-1,2,0,0,0,2,85.824,55.2,85.824,104.704,110.56,104.352,0,32,32,32,0,64,1
3,2880,2,2,2,34,0,0,0,0,0,0,935.648,448.864,433.888,458.592,478.336,497.568,48.576,48,32,32,32,160,0
4,1600,2,2,1,37,0,0,0,0,0,0,1503.68,1543.456,1577.312,906.048,926.688,945.504,64,64.608,38.4,35.2,34.208,32,0
5,1600,1,2,1,57,-1,0,-1,0,0,0,275.744,181.44,1146.72,670.08,612.672,612.192,64,1173.792,320,288,22.048,21.728,0
6,1600,1,1,2,37,0,0,0,0,0,0,2060.8,1826.208,1843.456,620.608,627.808,640.768,80,58.08,21.024,32,32,25.6,0
7,16000,1,1,2,29,0,0,0,0,0,0,11774.88,13184.736,14240.224,17364.896,15456.096,15166.208,1760,1280,1216,647.648,440,440.64,0
8,3200,2,2,2,23,0,-1,-1,0,0,-1,380.032,12.16,19.232,7.072,-5.088,18.144,12.16,19.232,0,18.592,53.984,49.344,0
9,4480,2,3,1,28,0,0,2,0,0,0,361.12,451.072,387.456,390.752,377.376,119.008,106.528,0,13.824,32,32,32,0
10,640,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,416.224,445.184,0,0,0,416.224,35.904,0,0
11,6400,2,3,2,34,0,0,2,0,0,-1,354.336,313.184,177.12,80.416,58.496,119.392,73.792,0.384,1.6,9.6,119.616,2.112,0
12,8320,2,1,2,51,-1,-1,-1,-1,-1,2,392.352,693.44,318.912,272.544,713.184,437.376,698.176,318.912,274.656,713.632,0,116.48,0
13,20160,2,2,2,41,-1,0,-1,-1,-1,-1,388.384,208,208,208,208,91.84,32,208,208,208,91.84,0,0
14,2240,1,2,2,30,1,2,2,0,0,2,2105.664,2155.808,2102.432,2137.024,1156.384,1180.608,102.4,0,96,96,48,0,1
15,8000,1,1,2,29,0,0,0,0,0,0,2268.384,2145.92,2033.952,1910.272,1820,1776.384,96,96,96,96,96,96,0
17,640,1,1,2,24,0,0,2,2,2,2,492.032,576.32,557.696,586.816,572.96,611.328,102.4,0,48,0,52.8,0,1
18,10240,1,1,1,49,0,0,0,-1,-1,-1,8105.152,7889.152,6229.216,2242.368,187.392,6259.168,331.456,320,2430.08,640,6259.168,1600,0
